,Unnamed: 0,NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
436,436,2186.0,CPU,Capenhurst,North West,Cheshire,Chester,UKD2,Cheshire,Merseyrail,,,," 47,747 "," 2,382 "," 6,528 "," 56,657 "," 47,747 "," 2,382 "," 6,528 "," 56,657 "," 113,314 "," 131,890 ",  ,1.0,0.0,Cause of large decrease not clear,,,,,
437,437,3542.0,CBB,Carbis Bay,South West,Cornwall And Isles Of Scilly,Penwith,UKK3,Cornwall and Isles of Scilly,First Great Western,,,, 684 ," 102,210 ", 475 ," 103,369 ", 684 ," 102,210 ", 475 ," 103,369 "," 206,738 "," 55,334 ",  ,1.0,0.0,"Improved data due to inclusion of St Ives branch Ranger tickets (additional 142,000 entries and exits)",,,,,
438,438,9112.0,CDD,Cardenden,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,," 11,173 "," 15,113 "," 4,599 "," 30,885 "," 11,173 "," 15,113 "," 4,599 "," 30,885 "," 61,770 "," 56,820 ",  ,0.0,0.0,,,,,,
439,439,3815.0,CDB,Cardiff Bay,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,CARDIFF BR,,," 213,278 "," 33,956 "," 149,457 "," 396,691 "," 213,278 "," 33,956 "," 149,457 "," 396,691 "," 793,382 "," 753,148 ",  ,0.0,0.0,,,,,,
440,440,3899.0,CDF,Cardiff Central,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,CARDIFF BR,,," 2,283,783 "," 2,168,482 "," 1,301,534 "," 5,753,799 "," 2,283,783 "," 2,168,482 "," 1,301,534 "," 5,753,799 "," 11,507,598 "," 11,259,968 "," 1,447,924 ",0.0,0.0,,,,,,
441,441,3900.0,CDQ,Cardiff Queen Street,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,CARDIFF BR,,," 723,843 "," 72,445 "," 448,172 "," 1,244,460 "," 723,843 "," 72,445 "," 448,172 "," 1,244,460 "," 2,488,920 "," 2,411,438 "," 657,148 ",0.0,0.0,,,,,,
442,442,9624.0,CDO,Cardonald,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 26,085 "," 19,764 "," 30,132 "," 75,981 "," 26,085 "," 19,764 "," 30,132 "," 75,981 "," 151,962 "," 150,516 ",  ,0.0,0.0,,,,,,
443,443,9969.0,CDR,Cardross,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,," 27,695 "," 22,806 "," 64,751 "," 115,252 "," 27,695 "," 22,806 "," 64,751 "," 115,252 "," 230,504 "," 227,656 ",  ,0.0,0.0,,,,,,
444,444,9877.0,CRF,Carfin,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 14,667 "," 16,117 "," 15,583 "," 46,367 "," 14,667 "," 16,117 "," 15,583 "," 46,367 "," 92,734 "," 81,088 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
446,446,2118.0,CAR,Carlisle,North West,Cumbria,Carlisle,UKD1,Cumbria,Virgin Trains (West Coast),,,," 278,562 "," 561,074 "," 55,063 "," 894,699 "," 278,562 "," 561,074 "," 55,063 "," 894,699 "," 1,789,398 "," 1,740,540 "," 325,850 ",0.0,0.0,,,,,,
447,447,6201.0,CTO,Carlton,East Midlands,Nottinghamshire,Gedling,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 4,926 "," 3,499 "," 2,761 "," 11,186 "," 4,926 "," 3,499 "," 2,761 "," 11,186 "," 22,372 "," 20,112 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
448,448,9702.0,CLU,Carluke,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 54,820 "," 49,230 "," 60,084 "," 164,134 "," 54,820 "," 49,230 "," 60,084 "," 164,134 "," 328,268 "," 313,882 ",  ,0.0,0.0,,,,,,
449,449,4068.0,CMN,Carmarthen,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 112,643 "," 66,279 "," 31,792 "," 210,714 "," 112,643 "," 66,279 "," 31,792 "," 210,714 "," 421,428 "," 398,786 "," 8,224 ",0.0,0.0,,,,,,
450,450,9769.0,CML,Carmyle,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 27,286 "," 19,487 "," 20,923 "," 67,696 "," 27,286 "," 19,487 "," 20,923 "," 67,696 "," 135,392 "," 127,114 ",  ,0.0,0.0,,,,,,
451,451,2640.0,CNF,Carnforth,North West,Lancashire,Lancaster,UKD4,Lancashire,First TransPennine Express,,,," 49,793 "," 31,444 "," 14,416 "," 95,653 "," 49,793 "," 31,444 "," 14,416 "," 95,653 "," 191,306 "," 196,972 "," 9,920 ",0.0,0.0,,,,,,
452,452,9028.0,CAN,Carnoustie,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,," 23,939 "," 16,519 "," 9,891 "," 50,349 "," 23,939 "," 16,519 "," 9,891 "," 50,349 "," 100,698 "," 91,740 ",  ,0.0,0.0,,,,,,
453,453,9897.0,CAY,Carntyne,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 46,446 "," 40,191 "," 37,563 "," 124,200 "," 46,446 "," 40,191 "," 37,563 "," 124,200 "," 248,400 "," 211,206 ",  ,1.0,0.0,Likely linked to reopening if the Airdrie - Bathgate line,,,,,
454,454,1442.0,CPK,Carpenders Park,East,Hertfordshire,Three Rivers,UKH2,Bedfordshire and Hertforshire,London Overground,,,," 129,240 "," 187,098 "," 59,119 "," 375,457 "," 129,240 "," 187,098 "," 59,119 "," 375,457 "," 750,914 "," 705,776 ",  ,0.0,0.0,,,,,,
455,455,8621.0,CAG,Carrbridge,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 1,797 ", 895 , 126 ," 2,818 "," 1,797 ", 895 , 126 ," 2,818 "," 5,636 "," 5,118 ",  ,0.0,0.0,,,,,,
456,456,5405.0,CSH,Carshalton,London,Greater London,Sutton,UKI2,Outer London,Southern,,,London Travelcard Area Station," 140,042 "," 143,545 "," 336,405 "," 619,992 "," 140,042 "," 143,545 "," 336,405 "," 619,992 "," 1,239,984 "," 1,186,776 ",  ,0.0,0.0,,,,,,
457,457,5406.0,CSB,Carshalton Beeches,London,Greater London,Sutton,UKI2,Outer London,Southern,,,London Travelcard Area Station," 101,053 "," 100,002 "," 223,495 "," 424,550 "," 101,053 "," 100,002 "," 223,495 "," 424,550 "," 849,100 "," 790,764 ",  ,0.0,0.0,,,,,,
458,458,9704.0,CRS,Carstairs,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 3,221 ", 975 ," 2,577 "," 6,773 "," 3,221 ", 975 ," 2,577 "," 6,773 "," 13,546 "," 10,680 "," 3,113 ",1.0,0.0,Cause of large increase not clear,,,,,
459,459,9680.0,CDY,Cartsdyke,Scotland,Inverclyde,Inverclyde,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 21,167 "," 18,343 "," 16,533 "," 56,043 "," 21,167 "," 18,343 "," 16,533 "," 56,043 "," 112,086 "," 103,926 ",  ,0.0,0.0,,,,,,
460,460,3098.0,CBP,Castle Bar Park,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station," 15,201 "," 17,225 "," 29,755 "," 62,181 "," 15,201 "," 17,225 "," 29,755 "," 62,181 "," 124,362 "," 124,492 ",  ,0.0,0.0,,,,,,
461,461,5703.0,CLC,Castle Cary,South West,Somerset,South Somerset,UKK2,Dorset and Somerset,First Great Western,,,," 13,302 "," 96,568 "," 28,286 "," 138,156 "," 13,302 "," 96,568 "," 28,286 "," 138,156 "," 276,312 "," 259,220 "," 29,769 ",0.0,0.0,,,,,,
462,462,8359.0,CFD,Castleford,Yorkshire And The Humber,West Yorkshire,Wakefield,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 62,714 "," 87,942 "," 57,720 "," 208,376 "," 62,714 "," 87,942 "," 57,720 "," 208,376 "," 416,752 "," 393,776 "," 11,101 ",0.0,0.0,,,,,,
464,464,7914.0,CSM,Castleton Moor,Yorkshire And The Humber,North Yorkshire,Scarborough,UKE2,North Yorkshire,Northern Rail,,,," 2,130 ", 385 , -   ," 2,515 "," 2,130 ", 385 , -   ," 2,515 "," 5,030 "," 5,164 ",  ,0.0,0.0,,,,,,
465,465,5351.0,CAT,Caterham,South East,Surrey,Tandridge,UKJ2,"Surrey, East & West Sussex",Southern,,,London Travelcard Area Station," 105,198 "," 101,945 "," 304,843 "," 511,986 "," 105,198 "," 101,945 "," 304,843 "," 511,986 "," 1,023,972 "," 967,400 ",  ,0.0,0.0,,,,,,
466,466,5077.0,CTF,Catford,London,Greater London,Lewisham,UKI1,Inner London,Southeastern,CATFORD BR,,London Travelcard Area Station," 85,836 "," 75,420 "," 317,056 "," 478,312 "," 85,836 "," 75,420 "," 317,056 "," 478,312 "," 956,624 "," 934,649 "," 65,978 ",0.0,0.0,,,,,,
467,467,5047.0,CFB,Catford Bridge,London,Greater London,Lewisham,UKI1,Inner London,Southeastern,CATFORD BR,,London Travelcard Area Station," 150,344 "," 192,679 "," 564,779 "," 907,802 "," 150,344 "," 192,679 "," 564,779 "," 907,802 "," 1,815,604 "," 1,833,319 "," 38,403 ",0.0,0.0,,,,,,
468,468,3820.0,CYS,Cathays,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,,,," 212,355 "," 40,819 "," 124,530 "," 377,704 "," 212,355 "," 40,819 "," 124,530 "," 377,704 "," 755,408 "," 701,082 ",  ,0.0,0.0,,,,,,
469,469,9795.0,CCT,Cathcart,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 85,256 "," 66,339 "," 111,668 "," 263,263 "," 85,256 "," 66,339 "," 111,668 "," 263,263 "," 526,526 "," 497,766 "," 1,491 ",0.0,0.0,,,,,,
470,470,8232.0,CTL,Cattal,Yorkshire And The Humber,North Yorkshire,Harrogate,UKE2,North Yorkshire,Northern Rail,,,," 9,735 "," 11,010 "," 5,531 "," 26,276 "," 9,735 "," 11,010 "," 5,531 "," 26,276 "," 52,552 "," 53,188 ",  ,0.0,0.0,,,,,,
471,471,3568.0,CAU,Causeland,South West,Cornwall And Isles Of Scilly,Caradon,UKK3,Cornwall and Isles of Scilly,First Great Western,,,, 215 ," 1,440 ", 28 ," 1,683 ", 215 ," 1,440 ", 28 ," 1,683 "," 3,366 "," 2,674 ",  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
472,472,2425.0,CYB,Cefn-Y-Bedd,Wales - Cymru,Flintshire - Sir Y Fflint,Flintshire - Sir Y Fflint,UKL2,East Wales,Arriva Trains Wales,,,," 4,045 ", 317 , 87 ," 4,449 "," 4,045 ", 317 , 87 ," 4,449 "," 8,898 "," 9,284 ",  ,0.0,0.0,,,,,,
473,473,6874.0,CTH,Chadwell Heath,London,Greater London,Redbridge,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station," 212,005 "," 253,376 "," 648,950 "," 1,114,331 "," 212,005 "," 253,376 "," 648,950 "," 1,114,331 "," 2,228,662 "," 2,144,996 ",  ,0.0,0.0,,,,,,
476,476,7469.0,CHW,Chalkwell,East,Southend-On-Sea,Southend-On-Sea,UKH3,Essex,c2c,,,," 189,384 "," 129,988 "," 451,523 "," 770,895 "," 189,384 "," 129,988 "," 451,523 "," 770,895 "," 1,541,790 "," 1,457,014 ",  ,0.0,0.0,,,,,,
477,477,5836.0,CFR,Chandlers Ford,South East,Hampshire,Eastleigh,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 41,524 "," 34,879 "," 44,354 "," 120,757 "," 41,524 "," 34,879 "," 44,354 "," 120,757 "," 241,514 "," 225,622 ",  ,0.0,0.0,,,,,,
478,478,2762.0,CEF,Chapel-En-Le-Frith,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,," 4,913 "," 15,193 "," 1,907 "," 22,013 "," 4,913 "," 15,193 "," 1,907 "," 22,013 "," 44,026 "," 44,630 ",  ,0.0,0.0,,,,,,
484,484,9911.0,CHC,Charing Cross (Glasgow),Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 327,256 "," 228,667 "," 467,421 "," 1,023,344 "," 327,256 "," 228,667 "," 467,421 "," 1,023,344 "," 2,046,688 "," 1,635,982 ",  ,1.0,0.0,Likely linked to reopening if the Airdrie - Bathgate line,,,,,
485,485,3004.0,CBY,Charlbury,South East,Oxfordshire,West Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 26,258 "," 60,757 "," 39,586 "," 126,601 "," 26,258 "," 60,757 "," 39,586 "," 126,601 "," 253,202 "," 244,586 ",  ,0.0,0.0,,,,,,
486,486,5144.0,CTN,Charlton,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 143,001 "," 197,966 "," 501,857 "," 842,824 "," 143,001 "," 197,966 "," 501,857 "," 842,824 "," 1,685,648 "," 1,672,850 "," 254,427 ",0.0,0.0,,,,,,
487,487,5008.0,CRT,Chartham,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,," 10,281 "," 13,084 "," 8,998 "," 32,363 "," 10,281 "," 13,084 "," 8,998 "," 32,363 "," 64,726 "," 64,336 ",  ,0.0,0.0,,,,,,
488,488,2947.0,CSR,Chassen Road,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 4,558 "," 3,733 "," 11,179 "," 19,470 "," 4,558 "," 3,733 "," 11,179 "," 19,470 "," 38,940 "," 40,380 ",  ,0.0,0.0,,,,,,
489,489,9707.0,CTE,Chatelherault,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 10,019 "," 8,534 "," 11,213 "," 29,766 "," 10,019 "," 8,534 "," 11,213 "," 29,766 "," 59,532 "," 57,116 ",  ,0.0,0.0,,,,,,
490,490,5199.0,CTM,Chatham,South East,Medway,Medway,UKJ4,Kent,Southeastern,,,," 261,619 "," 464,953 "," 704,091 "," 1,430,663 "," 261,619 "," 464,953 "," 704,091 "," 1,430,663 "," 2,861,326 "," 2,883,930 ", 711 ,0.0,0.0,,,,,,
491,491,7792.0,CHT,Chathill,North East,Northumberland,Berwick-Upon-Tweed,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,, 624 , 90 ," 1,911 "," 2,625 ", 624 , 90 ," 1,911 "," 2,625 "," 5,250 "," 2,642 ",  ,0.0,1.0,Cause of demand increase not clear,,,,,
492,492,2870.0,CHU,Cheadle Hulme,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 85,502 "," 144,999 "," 118,730 "," 349,231 "," 85,502 "," 144,999 "," 118,730 "," 349,231 "," 698,462 "," 616,210 "," 3,721 ",1.0,0.0,Continues high growth from previous year,,,,,
493,493,5352.0,CHE,Cheam,London,Greater London,Sutton,UKI2,Outer London,Southern,,,London Travelcard Area Station," 120,978 "," 118,622 "," 297,186 "," 536,786 "," 120,978 "," 118,622 "," 297,186 "," 536,786 "," 1,073,572 "," 1,051,736 ",  ,0.0,0.0,,,,,,
494,494,1372.0,CED,Cheddington,South East,Buckinghamshire,Aylesbury Vale,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",London Midland Trains,,,," 7,998 "," 10,436 "," 15,016 "," 33,450 "," 7,998 "," 10,436 "," 15,016 "," 33,450 "," 66,900 "," 70,684 ",  ,0.0,0.0,,,,,,
496,496,6836.0,CHM,Chelmsford,East,Essex,Chelmsford,UKH3,Essex,National Express East Anglia,,,," 715,287 "," 835,564 "," 2,387,492 "," 3,938,343 "," 715,287 "," 835,564 "," 2,387,492 "," 3,938,343 "," 7,876,686 "," 7,335,952 "," 53,886 ",0.0,0.0,,,,,,
497,497,5098.0,CLD,Chelsfield,London,Greater London,Bromley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 63,369 "," 40,851 "," 347,901 "," 452,121 "," 63,369 "," 40,851 "," 347,901 "," 452,121 "," 904,242 "," 906,166 ",  ,0.0,0.0,,,,,,
498,498,4731.0,CNM,Cheltenham Spa,South West,Gloucestershire,Cheltenham,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 249,067 "," 548,669 "," 110,274 "," 908,010 "," 249,067 "," 548,669 "," 110,274 "," 908,010 "," 1,816,020 "," 1,727,246 "," 211,535 ",0.0,0.0,,,,,,
499,499,3774.0,CPW,Chepstow,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 51,295 "," 35,931 "," 14,512 "," 101,738 "," 51,295 "," 35,931 "," 14,512 "," 101,738 "," 203,476 "," 188,374 ",  ,0.0,0.0,,,,,,
500,500,2573.0,CYT,Cherry Tree,North West,Blackburn With Darwen,Blackburn With Darwen,UKD4,Lancashire,Northern Rail,,,," 14,854 "," 3,361 "," 2,158 "," 20,373 "," 14,854 "," 3,361 "," 2,158 "," 20,373 "," 40,746 "," 33,112 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
501,501,5553.0,CHY,Chertsey,South East,Surrey,Runnymede,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 94,683 "," 61,961 "," 141,892 "," 298,536 "," 94,683 "," 61,961 "," 141,892 "," 298,536 "," 597,072 "," 612,488 ",  ,0.0,0.0,,,,,,
502,502,6814.0,CHN,Cheshunt,East,Hertfordshire,Broxbourne,UKH2,Bedfordshire and Hertforshire,National Express East Anglia,,,," 211,545 "," 203,526 "," 443,401 "," 858,472 "," 211,545 "," 203,526 "," 443,401 "," 858,472 "," 1,716,944 "," 1,590,082 "," 146,874 ",0.0,0.0,,,,,,
503,503,5582.0,CSN,Chessington North,London,Greater London,Kingston Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 53,304 "," 71,756 "," 158,177 "," 283,237 "," 53,304 "," 71,756 "," 158,177 "," 283,237 "," 566,474 "," 532,518 ",  ,0.0,0.0,,,,,,
504,504,5554.0,CSS,Chessington South,London,Greater London,Kingston Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 68,905 "," 54,565 "," 135,848 "," 259,318 "," 68,905 "," 54,565 "," 135,848 "," 259,318 "," 518,636 "," 502,582 ",  ,0.0,0.0,,,,,,
505,505,2412.0,CTR,Chester,North West,Cheshire,Chester,UKD2,Cheshire,Arriva Trains Wales,,,," 603,743 "," 700,121 "," 174,859 "," 1,478,723 "," 603,743 "," 700,121 "," 174,859 "," 1,478,723 "," 2,957,446 "," 3,052,806 "," 817,925 ",0.0,0.0,,,,,,
506,506,1130.0,CRD,Chester Road,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 74,605 "," 114,046 "," 186,406 "," 375,057 "," 74,605 "," 114,046 "," 186,406 "," 375,057 "," 750,114 "," 567,660 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 171,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
508,508,7736.0,CLS,Chester-Le-Street,North East,Durham,Chester-Le-Street,UKC1,Tees Valley and Durham,Northern Rail,,,," 22,144 "," 38,543 "," 34,043 "," 94,730 "," 22,144 "," 38,543 "," 34,043 "," 94,730 "," 189,460 "," 205,572 ",  ,0.0,0.0,,,,,,
507,507,6615.0,CHD,Chesterfield,East Midlands,Derbyshire,Chesterfield,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 210,357 "," 409,926 "," 125,025 "," 745,308 "," 210,357 "," 409,926 "," 125,025 "," 745,308 "," 1,490,616 "," 1,465,990 "," 183,778 ",0.0,0.0,,,,,,
510,510,5840.0,CNO,Chetnole,South West,Dorset,West Dorset,UKK2,Dorset and Somerset,First Great Western,,,, 460 , 643 , -   ," 1,103 ", 460 , 643 , -   ," 1,103 "," 2,206 "," 2,386 ",  ,0.0,0.0,,,,,,
511,511,5255.0,CCH,Chichester,South East,West Sussex,Chichester,UKJ2,"Surrey, East & West Sussex",Southern,,,," 326,462 "," 684,691 "," 583,961 "," 1,595,114 "," 326,462 "," 684,691 "," 583,961 "," 1,595,114 "," 3,190,228 "," 3,144,194 "," 29,790 ",0.0,0.0,,,,,,
512,512,5009.0,CIL,Chilham,South East,Kent,Ashford,UKJ4,Kent,Southeastern,,,," 3,788 "," 8,789 "," 7,697 "," 20,274 "," 3,788 "," 8,789 "," 7,697 "," 20,274 "," 40,548 "," 37,444 ",  ,0.0,0.0,,,,,,
513,513,5296.0,CHL,Chilworth,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",First Great Western,,,," 3,174 "," 2,983 "," 3,494 "," 9,651 "," 3,174 "," 2,983 "," 3,494 "," 9,651 "," 19,302 "," 20,430 ",  ,0.0,0.0,,,,,,
514,514,6914.0,CHI,Chingford,London,Greater London,Waltham Forest,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station," 146,156 "," 180,352 "," 369,380 "," 695,888 "," 146,156 "," 180,352 "," 369,380 "," 695,888 "," 1,391,776 "," 1,319,926 ",  ,0.0,0.0,,,,,,
515,515,2823.0,CLY,Chinley,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,," 18,764 "," 15,249 "," 17,564 "," 51,577 "," 18,764 "," 15,249 "," 17,564 "," 51,577 "," 103,154 "," 100,458 "," 1,565 ",0.0,0.0,,,,,,
516,516,3267.0,CPM,Chippenham,South West,Wiltshire,North Wiltshire,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 150,949 "," 467,344 "," 259,511 "," 877,804 "," 150,949 "," 467,344 "," 259,511 "," 877,804 "," 1,755,608 "," 1,653,544 "," 2,124 ",0.0,0.0,,,,,,
517,517,5353.0,CHP,Chipstead,South East,Surrey,Reigate And Banstead,UKJ2,"Surrey, East & West Sussex",Southern,,,London Travelcard Area Station," 19,687 "," 19,268 "," 37,670 "," 76,625 "," 19,687 "," 19,268 "," 37,670 "," 76,625 "," 153,250 "," 150,828 ",  ,0.0,0.0,,,,,,
518,518,4449.0,CRK,Chirk,Wales - Cymru,Wrexham - Wrecsam,Wrexham - Wrecsam,UKL2,East Wales,Arriva Trains Wales,,,," 19,513 "," 9,804 "," 3,682 "," 32,999 "," 19,513 "," 9,804 "," 3,682 "," 32,999 "," 65,998 "," 60,356 ",  ,0.0,0.0,,,,,,
519,519,5099.0,CIT,Chislehurst,London,Greater London,Bromley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 120,202 "," 128,351 "," 309,498 "," 558,051 "," 120,202 "," 128,351 "," 309,498 "," 558,051 "," 1,116,102 "," 1,101,634 ",  ,0.0,0.0,,,,,,
520,520,5583.0,CHK,Chiswick,London,Greater London,Hounslow,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 145,017 "," 123,604 "," 193,790 "," 462,411 "," 145,017 "," 123,604 "," 193,790 "," 462,411 "," 924,822 "," 871,938 ",  ,0.0,0.0,,,,,,
521,521,3031.0,CHO,Cholsey,South East,Oxfordshire,South Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 16,781 "," 44,448 "," 40,575 "," 101,804 "," 16,781 "," 44,448 "," 40,575 "," 101,804 "," 203,608 "," 187,384 ",  ,0.0,0.0,,,,,,
522,522,2745.0,CRL,Chorley,North West,Lancashire,Chorley,UKD4,Lancashire,Northern Rail,,,," 180,698 "," 119,722 "," 117,827 "," 418,247 "," 180,698 "," 119,722 "," 117,827 "," 418,247 "," 836,494 "," 819,548 ",  ,0.0,0.0,,,,,,
523,523,546.0,CLW,Chorleywood,East,Hertfordshire,Three Rivers,UKH2,Bedfordshire and Hertforshire,London Underground,,,," 94,073 "," 112,460 "," 100,109 "," 306,642 "," 94,073 "," 112,460 "," 100,109 "," 306,642 "," 613,284 "," 608,914 ",  ,0.0,0.0,,,,,,
524,524,5879.0,CHR,Christchurch,South West,Dorset,Christchurch,UKK2,Dorset and Somerset,South West Trains,,,," 68,464 "," 99,281 "," 54,727 "," 222,472 "," 68,464 "," 99,281 "," 54,727 "," 222,472 "," 444,944 "," 453,944 ",  ,0.0,0.0,,,,,,
527,527,8233.0,CHF,Church Fenton,Yorkshire And The Humber,North Yorkshire,Selby,UKE2,North Yorkshire,Northern Rail,,,," 21,997 "," 1,526 "," 12,930 "," 36,453 "," 21,997 "," 1,526 "," 12,930 "," 36,453 "," 72,906 "," 70,634 ", 753 ,0.0,0.0,,,,,,
528,528,4365.0,CTT,Church Stretton,West Midlands,Shropshire,South Shropshire,UKG2,Shropshire and Staffordshire,Arriva Trains Wales,,,," 30,823 "," 13,791 "," 15,013 "," 59,627 "," 30,823 "," 13,791 "," 15,013 "," 59,627 "," 119,254 "," 118,990 ",  ,0.0,0.0,,,,,,
529,529,3785.0,CIM,Cilmeri,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,, 578 , 337 , -   , 915 , 578 , 337 , -   , 915 ," 1,830 "," 1,690 ",  ,0.0,0.0,,,,,,
530,530,5121.0,CTK,City Thameslink,London,Greater London,City Of London,UKI1,Inner London,First Capital Connect,LONDON BR,,London Travelcard Area Station," 459,520 "," 555,956 "," 1,787,540 "," 2,803,016 "," 459,520 "," 555,956 "," 1,787,540 "," 2,803,016 "," 5,606,032 "," 5,346,096 ", 70 ,0.0,0.0,,,,,,
532,532,5555.0,CLA,Clandon,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 26,166 "," 22,319 "," 44,780 "," 93,265 "," 26,166 "," 22,319 "," 44,780 "," 93,265 "," 186,530 "," 188,300 ",  ,0.0,0.0,,,,,,
